,Entity,Code,Year,Cardiovascular Disease,Diabetes & Kidney Disease,Neoplasms,Chronic Respiratory Diseases
29,Afghanistan,AFG,2019,1819607.22,476195.52,796310.89,306360.72
89,Albania,ALB,2019,221259.93,25818.06,111719.01,19951.39
119,Algeria,DZA,2019,2053640.89,586525.5,675351.37,267334.9
149,American Samoa,ASM,2019,3287.05,2687.19,1828.68,646.36
179,Andorra,AND,2019,2612.38,861.67,5012.11,1034.13
209,Angola,AGO,2019,740922.26,280820.29,437545.22,189114.06
239,Antigua and Barbuda,ATG,2019,4032.49,3095.37,3253.58,435.27
269,Argentina,ARG,2019,1864505.36,744942.1,1977228.47,529348.06
299,Armenia,ARM,2019,241929.05,58959.46,145449.13,28248.44
329,Australia,AUS,2019,786856.17,273195.73,1099393.37,328077.11
359,Austria,AUT,2019,455197.61,135711.73,446070.58,96018.67
389,Azerbaijan,AZE,2019,922594.24,162288.45,364433.63,65300.34
419,Bahamas,BHS,2019,20496.0,10478.31,15787.0,2211.11
449,Bahrain,BHR,2019,36349.55,38469.34,24735.99,7571.41
479,Bangladesh,BGD,2019,7471988.99,1710413.83,3099674.78,1942679.02
509,Barbados,BRB,2019,16573.4,12498.06,18001.09,2058.77
539,Belarus,BLR,2019,1350737.9,63486.3,500691.2,70913.89
569,Belgium,BEL,2019,479033.98,146554.83,656837.53,178071.33
599,Belize,BLZ,2019,11134.6,9807.77,8654.24,3128.31
629,Benin,BEN,2019,310211.04,122710.79,171621.13,86780.31
659,Bermuda,BMU,2019,3392.17,1509.55,3595.04,472.98
689,Bhutan,BTN,2019,27525.27,10523.86,13234.75,13059.13
719,Bolivia,BOL,2019,347286.5,237818.3,365563.49,98267.21
749,Bosnia and Herz.,BIH,2019,328391.75,96060.81,219987.75,33918.74
779,Botswana,BWA,2019,92157.88,49506.05,62882.26,24044.2
809,Brazil,BRA,2019,8861401.55,3750735.01,6834584.54,2042183.89
839,Brunei,BRN,2019,13761.04,10387.2,15948.75,3170.7
869,Bulgaria,BGR,2019,1335488.54,158897.44,527719.56,83661.44
899,Burkina Faso,BFA,2019,618404.7,236593.81,343883.48,139722.3
929,Burundi,BDI,2019,314264.76,98696.97,188907.83,109117.02
959,Cambodia,KHM,2019,734818.91,239365.75,433714.69,150282.58
989,Cameroon,CMR,2019,746261.93,369778.55,453127.92,195153.97
1019,Canada,CAN,2019,1402599.01,444181.58,1942772.43,446332.32
1049,Cape Verde,CPV,2019,21222.02,7424.0,16979.39,3658.9
1079,Central African Rep.,CAF,2019,219570.86,72827.2,94601.62,63886.57
1109,Chad,TCD,2019,400606.42,142263.66,208617.2,118887.17
1139,Chile,CHL,2019,559307.89,279740.91,689864.39,160293.0
1169,China,CHN,2019,91933122.12,15909173.23,67519830.21,22520549.05
1199,Colombia,COL,2019,1347208.82,739590.06,1235853.46,388120.21
1229,Comoros,COM,2019,26823.61,8684.29,15931.59,6125.42
1259,Congo,COG,2019,188700.62,72157.63,105770.32,41549.57
1289,Cook Islands,COK,2019,1323.63,1014.14,726.43,236.86
1319,Costa Rica,CRI,2019,130693.55,86307.9,145091.72,35890.26
