,State,Population,State Abbreviation,"Cancer Rate per 100,000 People",Prevalance of Lung Disease (%),% of Adults with Diabetes,"Heart Disease per 100,000 People (2019)",Median Household Income
0,Nevada,3091000,NV,449.4,6.5,9.6,198.1,63300.0
1,New Mexico,2099634,NM,366.5,4.3,11.2,158.2,51900.0
2,California,39437610,CA,397.0,5.1,9.7,136.9,80400.0
3,Oregon,4216116,OR,411.3,5.1,10.0,131.0,67100.0
4,Alaska,733603,AK,418.5,4.6,8.7,129.7,75500.0
5,South Carolina,5157702,SC,419.4,7.2,11.6,164.0,56200.0
6,South Dakota,887127,SD,428.6,5.7,8.2,158.1,59500.0
7,Washington,7614024,WA,428.6,4.9,9.0,134.8,78700.0
8,Michigan,9984795,MI,432.7,7.5,10.2,193.8,59600.0
9,Massachusetts,6894883,MA,433.2,4.0,7.7,127.2,85800.0
10,Minnesota,5640053,MN,442.8,4.1,7.9,116.7,74600.0
11,Tennessee,6830325,TN,446.5,8.6,12.2,202.8,56100.0
12,Montana,1070123,MT,449.6,5.7,8.1,157.1,57200.0
13,Kansas,2912635,KS,452.2,5.8,10.4,166.0,62100.0
14,Pennsylvania,12798883,PA,457.5,6.4,9.9,172.9,63500.0
15,North Carolina,10501384,NC,460.8,5.7,11.0,154.7,57300.0
16,Mississippi,2978227,MS,469.6,8.0,12.9,226.7,45800.0
17,New Hampshire,1360783,NH,475.8,5.7,8.7,143.4,77900.0
18,Maine,1345770,ME,478.1,6.9,8.7,142.4,58900.0
19,West Virginia,1795263,WV,480.5,11.9,13.4,197.4,48900.0
20,New Jersey,8891258,NJ,483.7,4.4,9.4,158.0,85800.0
21,New York,19463131,NY,484.9,4.4,9.8,166.6,72100.0
22,Arkansas,3020985,AR,487.6,8.1,12.4,226.5,49000.0
23,Iowa,3159596,IA,494.1,5.6,8.8,172.9,61700.0
