State or US Territory,Percentage of Adults 18 or Older With Diagnosed Diabetes,Rate of Newly Diagnosed Diabetes in Adults 18 to 79
US Median,9.8,7.8
Alabama,12.7,10
Alaska,8.7,6.4
Arizona,9.6,6.8
Arkansas,12.4,9.9
California,9.7,7.5
Colorado,6.6,6
Connecticut,8.4,7
Delaware,10.1,7.9
District of Columbia,9.2,4.8
Florida,10.5,7.6
Georgia,11.7,9.4
Guam,15.4,15.3
Hawaii,10.3,10.2
Idaho,9.2,6.4
Illinois,9,8
Indiana,11.2,10
Iowa,8.8,7.5
Kansas,10.4,8.5
Kentucky,12.1,8.6
Louisiana,12.9,11.2
Maine,8.7,7.8
Maryland,10.8,8.9
Massachusetts,7.7,6.7
Michigan,10.2,8.4
Minnesota,7.9,6.1
Mississippi,12.9,9.8
Missouri,10.2,7.5
Montana,8.1,6.1
Nebraska,8.8,7.9
Nevada,9.6,7.1
New Hampshire,8.7,6.6
New Jersey,9.4,8.1
New Mexico,11.2,9.1
New York,9.8,7.2
North Carolina,11,8.4
North Dakota,8.7,6.7
Ohio,10.7,7.7
Oklahoma,11.4,9.5
Oregon,10,8.4
Pennsylvania,9.9,7.9
Puerto Rico,13.1,11.8
Rhode Island,9.4,6.8
South Carolina,11.6,8.4
South Dakota,8.2,7.7
Tennessee,12.2,10.6
Texas,12,9.8
Utah,8.7,6.4
Vermont,7.6,5.8
Virginia,9.5,6.7
Washington,9,7.6
West Virginia,13.4,11
Wisconsin,7.4,6.3
Wyoming,7.9,7.2
