Zip Code,% with COPD,
77007,2.60%,
77054,2.80%,
77030,3.00%,
77098,3.10%,
77006,3.30%,
77046,3.40%,
77002,3.50%,
77005,3.50%,
77019,3.60%,
77027,3.60%,
77008,3.70%,
77094,3.70%,
77401,3.70%,
77433,3.80%,
77025,4.00%,
77056,4.10%,
77057,4.30%,
77429,4.30%,
77449,4.30%,
77041,4.40%,
77059,4.40%,
77095,4.40%,
77450,4.50%,
77598,4.50%,
77024,4.60%,
77077,4.60%,
77345,4.60%,
77346,4.60%,
77389,4.60%,
77396,4.60%,
77379,4.80%,
77010,4.90%,
77377,4.90%,
77042,5.00%,
77044,5.00%,
77064,5.00%,
77388,5.00%,
77063,5.10%,
77073,5.10%,
77075,5.10%,
77079,5.10%,
77082,5.10%,
77084,5.10%,
77003,5.20%,
77004,5.20%,
77070,5.20%,
77014,5.30%,
77083,5.30%,
77375,5.30%,
77493,5.30%,
77586,5.30%,
77049,5.40%,
77062,5.40%,
77081,5.40%,
77089,5.40%,
77373,5.40%,
77009,5.60%,
77040,5.60%,
77047,5.60%,
77065,5.60%,
77085,5.60%,
77058,5.70%,
77505,5.70%,
77034,5.80%,
77043,5.80%,
77338,5.80%,
77339,5.80%,
77017,5.90%,
77055,5.90%,
77066,5.90%,
77067,5.90%,
77018,6.00%,
77031,6.00%,
77045,6.00%,
77068,6.00%,
77069,6.00%,
77090,6.00%,
77012,6.10%,
77023,6.10%,
77587,6.20%,
77096,6.30%,
77536,6.30%,
77035,6.40%,
77038,6.40%,
77571,6.40%,
77071,6.50%,
77506,6.50%,
77015,6.60%,
77061,6.60%,
77086,6.60%,
77099,6.60%,
77504,6.60%,
77521,6.60%,
77447,6.70%,
77503,6.80%,
77530,6.80%,
77036,6.90%,
77072,6.90%,
77080,6.90%,
77087,7.00%,
77532,7.00%,
77011,7.10%,
77076,7.10%,
77502,7.10%,
77013,7.30%,
77074,7.30%,
77520,7.30%,
77032,7.40%,
77336,7.40%,
77547,7.40%,
77060,7.50%,
77092,7.70%,
77021,7.80%,
77037,7.80%,
77088,7.80%,
77562,7.80%,
77050,7.90%,
77020,8.00%,
77039,8.00%,
77078,8.00%,
77048,8.10%,
77091,8.20%,
77093,8.50%,
77029,8.60%,
77022,8.90%,
77026,9.80%,
77033,10.00%,
77016,10.10%,
77028,10.30%,
77051,10.50%,
