Zip Code,Source,MeasurementPeriod,Dollars
77028,American Community Survey 5-Year,2016-2020,27905
77026,American Community Survey 5-Year,2016-2020,29401
77060,American Community Survey 5-Year,2016-2020,31173
77093,American Community Survey 5-Year,2016-2020,31321
77051,American Community Survey 5-Year,2016-2020,31942
77091,American Community Survey 5-Year,2016-2020,33497
77050,American Community Survey 5-Year,2016-2020,33537
77032,American Community Survey 5-Year,2016-2020,33630
77081,American Community Survey 5-Year,2016-2020,34817
77036,American Community Survey 5-Year,2016-2020,35771
77020,American Community Survey 5-Year,2016-2020,36209
77022,American Community Survey 5-Year,2016-2020,36441
77033,American Community Survey 5-Year,2016-2020,36484
77013,American Community Survey 5-Year,2016-2020,36647
77076,American Community Survey 5-Year,2016-2020,36722
77011,American Community Survey 5-Year,2016-2020,36751
77016,American Community Survey 5-Year,2016-2020,36805
77039,American Community Survey 5-Year,2016-2020,36943
77078,American Community Survey 5-Year,2016-2020,37763
77012,American Community Survey 5-Year,2016-2020,37823
77021,American Community Survey 5-Year,2016-2020,38638
77023,American Community Survey 5-Year,2016-2020,39603
77029,American Community Survey 5-Year,2016-2020,40209
77061,American Community Survey 5-Year,2016-2020,41103
77074,American Community Survey 5-Year,2016-2020,41154
77090,American Community Survey 5-Year,2016-2020,41441
77037,American Community Survey 5-Year,2016-2020,41611
77099,American Community Survey 5-Year,2016-2020,41632
77038,American Community Survey 5-Year,2016-2020,42291
77547,American Community Survey 5-Year,2016-2020,43341
77031,American Community Survey 5-Year,2016-2020,43509
77504,American Community Survey 5-Year,2016-2020,43991
77067,American Community Survey 5-Year,2016-2020,44196
77092,American Community Survey 5-Year,2016-2020,44248
77506,American Community Survey 5-Year,2016-2020,44929
77587,American Community Survey 5-Year,2016-2020,45354
77088,American Community Survey 5-Year,2016-2020,45445
77087,American Community Survey 5-Year,2016-2020,45763
77048,American Community Survey 5-Year,2016-2020,45987
77072,American Community Survey 5-Year,2016-2020,46127
77086,American Community Survey 5-Year,2016-2020,47495
77071,American Community Survey 5-Year,2016-2020,48020
77063,American Community Survey 5-Year,2016-2020,48117
77042,American Community Survey 5-Year,2016-2020,48741
77015,American Community Survey 5-Year,2016-2020,50118
77014,American Community Survey 5-Year,2016-2020,50371
77035,American Community Survey 5-Year,2016-2020,50643
77017,American Community Survey 5-Year,2016-2020,50855
77520,American Community Survey 5-Year,2016-2020,51165
77082,American Community Survey 5-Year,2016-2020,51768
77054,American Community Survey 5-Year,2016-2020,51833
77080,American Community Survey 5-Year,2016-2020,51963
77598,American Community Survey 5-Year,2016-2020,52184
77083,American Community Survey 5-Year,2016-2020,54360
77073,American Community Survey 5-Year,2016-2020,54631
77034,American Community Survey 5-Year,2016-2020,54632
